"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80979,"Bison bonasus",52.009998,27.870001
"2",80979,"Bison bonasus",52.089893,28.199055
"4",80979,"Bison bonasus",53.523472,12.540034
"5",80979,"Bison bonasus",55.96323,13.53644
"6",80979,"Bison bonasus",52.897505,23.593797
"7",80979,"Bison bonasus",53.522129,12.550367
"8",80979,"Bison bonasus",52.573011,23.797933
"9",80979,"Bison bonasus",52.7,23.8
"10",80979,"Bison bonasus",52.625385,23.769154
"11",80979,"Bison bonasus",52.687358,24.069424
"12",80979,"Bison bonasus",52.732477,23.451527
"13",80979,"Bison bonasus",52.883427,23.833073
"14",80979,"Bison bonasus",52.963265,23.475915
"15",80979,"Bison bonasus",52.921016,23.806355
"16",80979,"Bison bonasus",52.944489,23.88891
"17",80979,"Bison bonasus",52.681209,23.70747
"18",80979,"Bison bonasus",53.845833,8.614722
"19",80979,"Bison bonasus",52.498249,13.042145
"20",80979,"Bison bonasus",52.719242,23.835697
"21",80979,"Bison bonasus",53.833385,8.632851
"23",80979,"Bison bonasus",53.892418,14.035914
"25",80979,"Bison bonasus",52.780754,23.792439
"39",80979,"Bison bonasus",53.489269,22.737236
"43",80979,"Bison bonasus",52.408078,23.924915
"44",80979,"Bison bonasus",52.214477,4.401025
"45",80979,"Bison bonasus",52.653884,23.856399
"46",80979,"Bison bonasus",52.913505,23.799677
"47",80979,"Bison bonasus",52.854717,23.835516
"49",80979,"Bison bonasus",52.385868,4.576321
"50",80979,"Bison bonasus",51.073727,8.290724
"51",80979,"Bison bonasus",49.209667,22.32061
"52",80979,"Bison bonasus",49.220978,22.593352
"53",80979,"Bison bonasus",52.883839,23.757278
"54",80979,"Bison bonasus",52.75,23.78
"67",80979,"Bison bonasus",52.6388,23.5294
"70",80979,"Bison bonasus",52.6887,23.7094
"72",80979,"Bison bonasus",52.7655,23.7075
"78",80979,"Bison bonasus",52.701,23.8051
"83",80979,"Bison bonasus",54.2735,22.0174
"96",80979,"Bison bonasus",52.738,23.635
"97",80979,"Bison bonasus",52.8083,23.6577
"109",80979,"Bison bonasus",54.1477,22.1044
"169",80979,"Bison bonasus",52.808,23.658
"616",80979,"Bison bonasus",52.349,20.753
"702",80979,"Bison bonasus",52.7655,23.6991
"741",80979,"Bison bonasus",52.6568,23.7694
"746",80979,"Bison bonasus",52.8158,23.7078
"767",80979,"Bison bonasus",52.884,23.655
"786",80979,"Bison bonasus",53.668812,10.725017
"791",80979,"Bison bonasus",48.906391,13.480858
"793",80979,"Bison bonasus",55.113091,14.941493
"794",80979,"Bison bonasus",47.765175,16.827621
"795",80979,"Bison bonasus",46.884866,1.07742
"796",80979,"Bison bonasus",52.2323,21.008433
"798",80979,"Bison bonasus",52.756845,23.76462
"799",80979,"Bison bonasus",42.222398,-73.988211
