"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81124,"Ovis ammon",51.713203,6.548538
"2",81124,"Ovis ammon",48.674301,10.13772
"3",81124,"Ovis ammon",49.588249,7.909591
"4",81124,"Ovis ammon",53.154953,11.708593
"5",81124,"Ovis ammon",50.331345,7.351295
"6",81124,"Ovis ammon",53.11853,11.621853
"7",81124,"Ovis ammon",52.182644,11.009116
"8",81124,"Ovis ammon",50.752041,12.095947
"9",81124,"Ovis ammon",50.294605,7.404785
"10",81124,"Ovis ammon",52.273067,13.213978
"11",81124,"Ovis ammon",50.84716,8.48021
"12",81124,"Ovis ammon",50.869759,13.593435
"13",81124,"Ovis ammon",50.602287,6.427277
"14",81124,"Ovis ammon",50.742321,12.08715
"15",81124,"Ovis ammon",51.398029,11.003139
"16",81124,"Ovis ammon",49.76297,7.622194
"17",81124,"Ovis ammon",49.823868,7.457521
"18",81124,"Ovis ammon",51.657917,10.719438
"19",81124,"Ovis ammon",52.269936,13.206296
"20",81124,"Ovis ammon",50.817169,11.801564
"22",81124,"Ovis ammon",53.035774,13.369486
"23",81124,"Ovis ammon",53.131451,13.107888
"24",81124,"Ovis ammon",52.020229,8.461468
"25",81124,"Ovis ammon",51.737606,11.019502
"26",81124,"Ovis ammon",51.223747,14.123181
"27",81124,"Ovis ammon",54.537704,13.097978
"28",81124,"Ovis ammon",53.504189,12.367779
"29",81124,"Ovis ammon",50.706894,13.140678
"30",81124,"Ovis ammon",51.738934,11.008816
"31",81124,"Ovis ammon",53.198322,14.087219
"32",81124,"Ovis ammon",51.583786,6.253153
"33",81124,"Ovis ammon",51.583847,6.252983
"34",81124,"Ovis ammon",48.909214,9.188647
"35",81124,"Ovis ammon",50.391586,7.16477
"36",81124,"Ovis ammon",50.087547,7.047043
"37",81124,"Ovis ammon",50.877258,8.485991
"38",81124,"Ovis ammon",49.486359,9.117537
"39",81124,"Ovis ammon",50.093769,7.052932
"40",81124,"Ovis ammon",52.217495,9.169378
"41",81124,"Ovis ammon",51.125103,14.490023
"42",81124,"Ovis ammon",50.590115,6.430984
