"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80964,"Raphicerus campestris",-31.60038,22.60242
"2",80964,"Raphicerus campestris",-2.08333,33.95
"3",80964,"Raphicerus campestris",-2.08333,34.61667
"5",80964,"Raphicerus campestris",-20.25,20.48
"6",80964,"Raphicerus campestris",-28.55,27.35
"7",80964,"Raphicerus campestris",-20.03,21.47
"8",80964,"Raphicerus campestris",-21.5,33
"9",80964,"Raphicerus campestris",-21.42,18.5
"10",80964,"Raphicerus campestris",-24.26069,31.645488
"11",80964,"Raphicerus campestris",-25.279471,27.287292
"12",80964,"Raphicerus campestris",-30.559482,22.937506
"13",80964,"Raphicerus campestris",-30.46273,20.394001
"14",80964,"Raphicerus campestris",-18.866391,16.826184
"15",80964,"Raphicerus campestris",-25.584563,19.979337
"16",80964,"Raphicerus campestris",-25.58769,19.992585
"17",80964,"Raphicerus campestris",-22.190906,29.226163
"18",80964,"Raphicerus campestris",-22.402409,22.093645
"19",80964,"Raphicerus campestris",-21.451639,32.103231
"20",80964,"Raphicerus campestris",-1.977295,35.156039
"21",80964,"Raphicerus campestris",-21.331723,23.688027
"22",80964,"Raphicerus campestris",-23.639351,20.824113
"23",80964,"Raphicerus campestris",-19.375628,22.432566
"24",80964,"Raphicerus campestris",-21.788425,23.216872
"25",80964,"Raphicerus campestris",-25.045278,31.589444
"26",80964,"Raphicerus campestris",-19.554614,24.169922
"27",80964,"Raphicerus campestris",-22.834415,32.895813
"28",80964,"Raphicerus campestris",-19.489573,18.127098
"29",80964,"Raphicerus campestris",-21.505342,23.836212
"30",80964,"Raphicerus campestris",-0.2333,36.8167
"34",80964,"Raphicerus campestris",-29.103122,24.385964
"35",80964,"Raphicerus campestris",-28.587455,20.284866
"36",80964,"Raphicerus campestris",-20.422991,17.331963
"37",80964,"Raphicerus campestris",-19.228979,23.048854
"38",80964,"Raphicerus campestris",-24.52314,31.356537
"39",80964,"Raphicerus campestris",-22.214543,29.09523
"40",80964,"Raphicerus campestris",-25.292826,31.525737
"41",80964,"Raphicerus campestris",-23.988385,31.55474
"42",80964,"Raphicerus campestris",-24.43724,31.828409
"43",80964,"Raphicerus campestris",-31.434452,19.066538
"44",80964,"Raphicerus campestris",-28.98,22.18
"45",80964,"Raphicerus campestris",-19.23,20.23
"46",80964,"Raphicerus campestris",-25.086221,31.542778
"47",80964,"Raphicerus campestris",-25.131162,31.706543
"48",80964,"Raphicerus campestris",-24.93688,31.914597
"50",80964,"Raphicerus campestris",-29.166252,24.319611
"51",80964,"Raphicerus campestris",-24.756288,31.810708
"52",80964,"Raphicerus campestris",-24.198435,30.893383
