"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81190,"Cephalophus nigrifrons",-1.472795,29.49011
"2",81190,"Cephalophus nigrifrons",0.333333,29.833333
"3",81190,"Cephalophus nigrifrons",-1.383333,29.033333
"6",81190,"Cephalophus nigrifrons",0.583333,29.916667
"7",81190,"Cephalophus nigrifrons",0.666667,29.733333
"8",81190,"Cephalophus nigrifrons",-1.4,29.366667
"10",81190,"Cephalophus nigrifrons",-1.051165,29.775984
"11",81190,"Cephalophus nigrifrons",-1.06223,29.782198
"12",81190,"Cephalophus nigrifrons",-1.0806,29.6614
"13",81190,"Cephalophus nigrifrons",1.25,28.35
"14",81190,"Cephalophus nigrifrons",-0.215606,37.291718
"16",81190,"Cephalophus nigrifrons",-0.3471,30.1553
"17",81190,"Cephalophus nigrifrons",-0.3333,30.1827
"18",81190,"Cephalophus nigrifrons",-0.1505,30.266
"19",81190,"Cephalophus nigrifrons",-1.0407,29.7744
"20",81190,"Cephalophus nigrifrons",-0.2417,30.2981
"21",81190,"Cephalophus nigrifrons",-0.3546,30.2153
"22",81190,"Cephalophus nigrifrons",-1.060668,29.774224
"23",81190,"Cephalophus nigrifrons",-0.41667,36.63333
"24",81190,"Cephalophus nigrifrons",-0.45,36.83333
"25",81190,"Cephalophus nigrifrons",4.784722,5.891667
"26",81190,"Cephalophus nigrifrons",4.883333,5.991667
"27",81190,"Cephalophus nigrifrons",4.883333,6
