"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81299,"Kobus vardonii",-12.933646,31.78196
"2",81299,"Kobus vardonii",-13.056781,31.708806
"3",81299,"Kobus vardonii",-15.943998,27.012038
"4",81299,"Kobus vardonii",-15.37083,25.987141
"5",81299,"Kobus vardonii",-13.171799,33.099757
"6",81299,"Kobus vardonii",-14.754307,26.218426
"7",81299,"Kobus vardonii",-14.614102,26.393859
"8",81299,"Kobus vardonii",-14.71227,26.331134
"9",81299,"Kobus vardonii",-14.794112,26.260387
"10",81299,"Kobus vardonii",-14.604602,26.3087
"11",81299,"Kobus vardonii",-14.638582,26.3901
"12",81299,"Kobus vardonii",-13.050238,31.739726
"13",81299,"Kobus vardonii",-13.079805,31.796945
"14",81299,"Kobus vardonii",-13.142057,31.724758
"15",81299,"Kobus vardonii",-13.061335,31.954689
"16",81299,"Kobus vardonii",-13.067086,31.750531
"17",81299,"Kobus vardonii",-13.194914,31.926777
"18",81299,"Kobus vardonii",-13.075697,31.719594
"19",81299,"Kobus vardonii",-17.913057,24.95993
"20",81299,"Kobus vardonii",-15.578688,28.237156
"21",81299,"Kobus vardonii",-13.167336,31.776592
"22",81299,"Kobus vardonii",-13.029284,31.789354
"23",81299,"Kobus vardonii",-13.096732,31.716194
"24",81299,"Kobus vardonii",-12.579871,30.259651
"25",81299,"Kobus vardonii",-12.583824,30.320103
"26",81299,"Kobus vardonii",-8.65,26.516667
"36",81299,"Kobus vardonii",-8.933333,27.2
"37",81299,"Kobus vardonii",-8.366667,29.633333
"44",81299,"Kobus vardonii",-14.721584,26.26355
"45",81299,"Kobus vardonii",-12.764214,32.080239
"46",81299,"Kobus vardonii",-17.935126,25.007375
"47",81299,"Kobus vardonii",-15.091515,25.802967
"48",81299,"Kobus vardonii",-15.077848,25.89217
"49",81299,"Kobus vardonii",-15.009619,25.807927
"50",81299,"Kobus vardonii",-13.165415,31.668481
"51",81299,"Kobus vardonii",-13.066115,31.74351
"52",81299,"Kobus vardonii",-13.185134,31.796607
"53",81299,"Kobus vardonii",-17.869637,25.174688
"54",81299,"Kobus vardonii",-15.018417,28.547366
"55",81299,"Kobus vardonii",-12.893624,31.949999
"56",81299,"Kobus vardonii",-12.816733,31.911235
"57",81299,"Kobus vardonii",-11.94643,32.085605
"58",81299,"Kobus vardonii",-17.915984,25.066951
"59",81299,"Kobus vardonii",-13.101935,31.865026
"60",81299,"Kobus vardonii",-12.402934,30.391897
"61",81299,"Kobus vardonii",-14.299743,25.902805
"62",81299,"Kobus vardonii",-13.146434,31.680126
"63",81299,"Kobus vardonii",-15.450876,28.548524
"64",81299,"Kobus vardonii",-18.655274,24.432697
"65",81299,"Kobus vardonii",-12.539023,30.38906
"66",81299,"Kobus vardonii",-13.03667,31.486816
"67",81299,"Kobus vardonii",-17.823223,25.145988
"69",81299,"Kobus vardonii",-12.596114,30.252228
"70",81299,"Kobus vardonii",-12.609516,32.270279
"72",81299,"Kobus vardonii",-11.926477,32.25174
"76",81299,"Kobus vardonii",-12.929615,32.016907
"77",81299,"Kobus vardonii",-12.781335,32.05098
"78",81299,"Kobus vardonii",-13.90241,31.638222
"79",81299,"Kobus vardonii",-18.573036,24.071732
"80",81299,"Kobus vardonii",-17.792498,25.21431
"82",81299,"Kobus vardonii",-13.059634,31.737321
"83",81299,"Kobus vardonii",-13.088291,31.612713
"84",81299,"Kobus vardonii",-17.945635,25.009953
"85",81299,"Kobus vardonii",-12.991176,31.858222
"86",81299,"Kobus vardonii",-12.806122,31.939496
"87",81299,"Kobus vardonii",-14.831422,25.94432
"88",81299,"Kobus vardonii",-14.951093,25.964181
"89",81299,"Kobus vardonii",-14.838579,25.946116
"90",81299,"Kobus vardonii",-15.182321,25.804171
"91",81299,"Kobus vardonii",-15.152514,25.864414
"92",81299,"Kobus vardonii",-16.619625,27.011602
"93",81299,"Kobus vardonii",-13.183413,33.062705
"94",81299,"Kobus vardonii",-13.109298,31.755081
"95",81299,"Kobus vardonii",-12.602839,32.135738
"96",81299,"Kobus vardonii",-12.929085,31.998816
