"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81267,"Oryx leucoryx",31.250591,-100.985332
"2",81267,"Oryx leucoryx",24.708355,55.478617
"3",81267,"Oryx leucoryx",30.571679,35.084328
"4",81267,"Oryx leucoryx",29.868026,35.043779
"30",81267,"Oryx leucoryx",24.92138,55.277895
"31",81267,"Oryx leucoryx",30.72,35.18
"32",81267,"Oryx leucoryx",30.7,35.19
"33",81267,"Oryx leucoryx",29.86,35.04
"319",81267,"Oryx leucoryx",24.847367,55.371596
"320",81267,"Oryx leucoryx",24.953095,55.660182
"321",81267,"Oryx leucoryx",24.985965,55.315947
"322",81267,"Oryx leucoryx",24.842315,55.357087
"323",81267,"Oryx leucoryx",29.454319,35.442268
"324",81267,"Oryx leucoryx",24.920294,55.302988
"325",81267,"Oryx leucoryx",25.3793,55.815828
