"","taxon","trainingAUC","validation"
"1","Alces alces","0.87","invalid"
"2","Antilope cervicapra","0.8855","invalid"
"3","Bison bonasus","0.8666","invalid"
"4","Bos frontalis gaurus","0.8166","invalid"
"5","Bos grunniens mutus","0.8968","invalid"
"6","Bos taurus primigenius","0.9324","invalid"
"7","Camelus bactrianus","0.88","invalid"
"8","Camelus dromedarius","0.865","invalid"
"9","Capra hircus aegagrus","0.8655","invalid"
"10","Capra sibirica","0.93","invalid"
"11","Capreolus pygargus","0.8246","invalid"
"12","Catagonus wagneri","0.9857","invalid"
"13","Cephalophus niger","0.9602","invalid"
"14","Cephalophus rufilatus","0.9252","invalid"
"15","Cervus nippon","0.9233","invalid"
"16","Equus kiang","0.9326","invalid"
"17","Gazella dorcas","0.975","invalid"
"18","Hippocamelus antisensis","0.9399","invalid"
"19","Hippotragus niger","0.8859","invalid"
"20","Hyemoschus aquaticus","0.9862","invalid"
"21","Hylochoerus meinertzhageni","0.9642","invalid"
"22","Madoqua saltiana","0.9192","invalid"
"23","Nanger soemmerringii","0.9942","invalid"
"24","Neotragus batesi","0.9208","invalid"
"25","Neotragus pygmaeus","0.9551","invalid"
"26","Oryx leucoryx","0.9132","invalid"
"27","Ovis ammon","0.859","invalid"
"28","Ovis aries orientalis","0.9264","invalid"
"29","Ozotoceros bezoarticus","0.8357","invalid"
"30","Phacochoerus aethiopicus","0.848","invalid"
"31","Potamochoerus larvatus","0.8963","invalid"
"32","Potamochoerus porcus","0.958","invalid"
"33","Sus scrofa","0.8745","invalid"
"34","Taurotragus oryx","0.8487","invalid"
"35","Tragelaphus spekii","0.8809","invalid"
"36","Tragulus napu","0.8752","invalid"
"37","Aepyceros melampus","0.8864","valid"
"38","Alcelaphus buselaphus","0.8376","valid"
"39","Alcelaphus caama","0.9571","valid"
"40","Alces americanus","0.8559","valid"
"41","Ammotragus lervia","0.968","valid"
"42","Antidorcas marsupialis","0.8793","valid"
"43","Antilocapra americana","0.8526","valid"
"44","Axis axis","0.9141","valid"
"45","Axis porcinus","0.9743","valid"
"46","Bison bison","0.9741","valid"
"47","Blastocerus dichotomus","0.9726","valid"
"48","Bos javanicus","0.9069","valid"
"49","Boselaphus tragocamelus","0.9452","valid"
"50","Bubalus bubalis arnee","0.973","valid"
"51","Budorcas taxicolor","0.9233","valid"
"52","Capra ibex","0.9815","valid"
"53","Capra nubiana","0.9976","valid"
"54","Capra pyrenaica","0.9684","valid"
"55","Capreolus capreolus","0.8379","valid"
"56","Capricornis crispus","0.9206","valid"
"57","Capricornis swinhoei","0.9938","valid"
"58","Cephalophus dorsalis","0.9789","valid"
"59","Cephalophus jentinki","0.9987","valid"
"60","Cephalophus natalensis","0.9858","valid"
"61","Cephalophus nigrifrons","0.9835","valid"
"62","Cephalophus silvicultor","0.9656","valid"
"63","Cephalophus zebra","0.9986","valid"
"64","Ceratotherium simum","0.9646","valid"
"65","Cervus elaphus","0.8593","valid"
"66","Connochaetes gnou","0.9346","valid"
"67","Connochaetes taurinus","0.8878","valid"
"68","Dama dama","0.8973","valid"
"69","Damaliscus korrigum","0.9445","valid"
"70","Damaliscus lunatus","0.8885","valid"
"71","Damaliscus pygargus","0.9172","valid"
"72","Diceros bicornis","0.9262","valid"
"73","Equus burchellii","0.8858","valid"
"74","Equus grevyi","0.9943","valid"
"75","Equus hemionus","0.9333","valid"
"76","Equus przewalskii","0.8786","valid"
"77","Equus zebra","0.9343","valid"
"78","Eudorcas rufifrons","0.9943","valid"
"79","Eudorcas thomsonii","0.9827","valid"
"80","Gazella bennettii","0.9736","valid"
"81","Gazella gazella","0.9929","valid"
"82","Gazella subgutturosa","0.8779","valid"
"83","Giraffa camelopardalis","0.8792","valid"
"84","Hemitragus jemlahicus","0.9565","valid"
"85","Hippocamelus bisulcus","0.9698","valid"
"86","Hippopotamus amphibius","0.907","valid"
"87","Hippotragus equinus","0.9758","valid"
"88","Kobus ellipsiprymnus","0.8308","valid"
"89","Kobus kob","0.9666","valid"
"90","Kobus leche","0.9619","valid"
"91","Kobus megaceros","0.9938","valid"
"92","Kobus vardonii","0.9768","valid"
"93","Lama glama guanicoe","0.9206","valid"
"94","Litocranius walleri","0.9696","valid"
"95","Madoqua guentheri","0.9692","valid"
"96","Madoqua kirkii","0.9329","valid"
"97","Mazama americana","0.8808","valid"
"98","Mazama gouazoubira","0.8699","valid"
"99","Mazama nana","0.9994","valid"
"100","Mazama pandora","0.9718","valid"
"101","Mazama rufina","0.9759","valid"
"102","Mazama temama","0.9118","valid"
"103","Muntiacus muntjak","0.8644","valid"
"104","Muntiacus reevesi","0.9589","valid"
"105","Nanger granti","0.965","valid"
"106","Odocoileus hemionus","0.8727","valid"
"107","Odocoileus virginianus","0.8199","valid"
"108","Oreamnos americanus","0.955","valid"
"109","Oreotragus oreotragus","0.9165","valid"
"110","Oryx beisa","0.9771","valid"
"111","Oryx gazella","0.9195","valid"
"112","Ourebia ourebi","0.966","valid"
"113","Ovibos moschatus","0.8119","valid"
"114","Ovis canadensis","0.9167","valid"
"115","Ovis dalli","0.8875","valid"
"116","Pecari tajacu","0.8522","valid"
"117","Pelea capreolus","0.9755","valid"
"118","Phacochoerus africanus","0.8463","valid"
"119","Philantomba maxwellii","0.979","valid"
"120","Philantomba monticola","0.9304","valid"
"121","Procapra picticaudata","0.9187","valid"
"122","Pseudois nayaur","0.9467","valid"
"123","Pudu puda","0.9881","valid"
"124","Rangifer tarandus","0.9605","valid"
"125","Raphicerus campestris","0.8637","valid"
"126","Raphicerus melanotis","0.9801","valid"
"127","Raphicerus sharpei","0.9469","valid"
"128","Redunca arundinum","0.9107","valid"
"129","Redunca fulvorufula","0.9449","valid"
"130","Redunca redunca","0.9579","valid"
"131","Rhinoceros unicornis","0.9868","valid"
"132","Rucervus duvaucelii","0.9661","valid"
"133","Rupicapra pyrenaica","0.994","valid"
"134","Rupicapra rupicapra","0.9792","valid"
"135","Rusa timorensis","0.983","valid"
"136","Rusa unicolor","0.9045","valid"
"137","Sus barbatus","0.9444","valid"
"138","Sus cebifrons","0.9561","valid"
"139","Sylvicapra grimmia","0.8844","valid"
"140","Syncerus caffer","0.8485","valid"
"141","Tapirus bairdii","0.8693","valid"
"142","Tapirus pinchaque","0.9956","valid"
"143","Tapirus terrestris","0.8655","valid"
"144","Tayassu pecari","0.8512","valid"
"145","Tragelaphus angasii","0.9783","valid"
"146","Tragelaphus buxtoni","0.9988","valid"
"147","Tragelaphus eurycerus","0.9766","valid"
"148","Tragelaphus imberbis","0.9772","valid"
"149","Tragelaphus scriptus","0.8299","valid"
"150","Tragelaphus strepsiceros","0.8824","valid"
"151","Tragulus kanchil","0.9229","valid"
"152","Vicagna vicugna","0.9492","valid"
