"","cluster","domesticated"
"Aepyceros_melampus",1,FALSE
"Alcelaphus_buselaphus",2,FALSE
"Alcelaphus_caama",2,FALSE
"Alces_alces",3,FALSE
"Alces_americanus",4,FALSE
"Ammotragus_lervia",5,FALSE
"Antidorcas_marsupialis",6,FALSE
"Antilocapra_americana",3,FALSE
"Antilope_cervicapra",1,FALSE
"Axis_axis",7,FALSE
"Axis_porcinus",8,FALSE
"Bison_bison",9,FALSE
"Bison_bonasus",3,FALSE
"Blastocerus_dichotomus",10,FALSE
"Bos_frontalis_gaurus",7,TRUE
"Bos_grunniens_mutus",6,TRUE
"Bos_javanicus",7,TRUE
"Bos_taurus_primigenius",3,TRUE
"Boselaphus_tragocamelus",11,FALSE
"Bubalus_bubalis_arnee",7,TRUE
"Budorcas_taxicolor",6,FALSE
"Camelus_bactrianus",2,TRUE
"Camelus_dromedarius",6,TRUE
"Capra_hircus_aegagrus",2,TRUE
"Capra_ibex",12,FALSE
"Capra_nubiana",13,FALSE
"Capra_pyrenaica",14,FALSE
"Capra_sibirica",6,FALSE
"Capreolus_capreolus",15,FALSE
"Capreolus_pygargus",9,FALSE
"Capricornis_crispus",16,FALSE
"Capricornis_swinhoei",6,FALSE
"Catagonus_wagneri",8,FALSE
"Cephalophus_dorsalis",17,FALSE
"Cephalophus_jentinki",17,FALSE
"Cephalophus_natalensis",18,FALSE
"Cephalophus_niger",7,FALSE
"Cephalophus_nigrifrons",12,FALSE
"Cephalophus_rufilatus",19,FALSE
"Cephalophus_silvicultor",17,FALSE
"Cephalophus_zebra",18,FALSE
"Ceratotherium_simum",20,FALSE
"Cervus_elaphus",15,FALSE
"Cervus_nippon",9,FALSE
"Connochaetes_gnou",20,FALSE
"Connochaetes_taurinus",1,FALSE
"Dama_dama",15,FALSE
"Damaliscus_korrigum",2,FALSE
"Damaliscus_lunatus",1,FALSE
"Damaliscus_pygargus",4,FALSE
"Diceros_bicornis",1,FALSE
"Equus_burchellii",1,FALSE
"Equus_grevyi",21,FALSE
"Equus_hemionus",13,FALSE
"Equus_kiang",6,FALSE
"Equus_przewalskii",6,TRUE
"Equus_zebra",22,FALSE
"Eudorcas_rufifrons",23,FALSE
"Eudorcas_thomsonii",6,FALSE
"Gazella_bennettii",11,FALSE
"Gazella_dorcas",13,FALSE
"Gazella_gazella",24,FALSE
"Gazella_subgutturosa",2,FALSE
"Giraffa_camelopardalis",1,FALSE
"Hemitragus_jemlahicus",15,FALSE
"Hippocamelus_antisensis",25,FALSE
"Hippocamelus_bisulcus",4,FALSE
"Hippopotamus_amphibius",1,FALSE
"Hippotragus_equinus",19,FALSE
"Hippotragus_niger",8,FALSE
"Hyemoschus_aquaticus",17,FALSE
"Hylochoerus_meinertzhageni",17,FALSE
"Kobus_ellipsiprymnus",1,FALSE
"Kobus_kob",19,FALSE
"Kobus_leche",2,FALSE
"Kobus_megaceros",26,FALSE
"Kobus_vardonii",27,FALSE
"Lama_glama_guanicoe",15,TRUE
"Litocranius_walleri",21,FALSE
"Madoqua_guentheri",21,FALSE
"Madoqua_kirkii",1,FALSE
"Madoqua_saltiana",7,FALSE
"Mazama_americana",18,FALSE
"Mazama_gouazoubira",18,FALSE
"Mazama_nana",17,FALSE
"Mazama_pandora",22,FALSE
"Mazama_rufina",28,FALSE
"Mazama_temama",18,FALSE
"Muntiacus_muntjak",7,FALSE
"Muntiacus_reevesi",15,FALSE
"Nanger_granti",21,FALSE
"Nanger_soemmerringii",8,FALSE
"Neotragus_batesi",4,FALSE
"Neotragus_pygmaeus",7,FALSE
"Odocoileus_hemionus",3,FALSE
"Odocoileus_virginianus",9,FALSE
"Oreamnos_americanus",3,FALSE
"Oreotragus_oreotragus",1,FALSE
"Oryx_beisa",21,FALSE
"Oryx_gazella",6,FALSE
"Oryx_leucoryx",27,FALSE
"Ourebia_ourebi",2,FALSE
"Ovibos_moschatus",6,FALSE
"Ovis_ammon",6,FALSE
"Ovis_aries_orientalis",6,TRUE
"Ovis_canadensis",8,FALSE
"Ovis_dalli",6,FALSE
"Ozotoceros_bezoarticus",4,FALSE
"Pecari_tajacu",8,FALSE
"Pelea_capreolus",4,FALSE
"Phacochoerus_aethiopicus",1,FALSE
"Phacochoerus_africanus",8,FALSE
"Philantomba_maxwellii",18,FALSE
"Philantomba_monticola",9,FALSE
"Potamochoerus_larvatus",1,FALSE
"Potamochoerus_porcus",17,FALSE
"Procapra_picticaudata",6,FALSE
"Pseudois_nayaur",3,FALSE
"Pudu_puda",16,FALSE
"Rangifer_tarandus",3,TRUE
"Raphicerus_campestris",6,FALSE
"Raphicerus_melanotis",9,FALSE
"Raphicerus_sharpei",1,FALSE
"Redunca_arundinum",4,FALSE
"Redunca_fulvorufula",20,FALSE
"Redunca_redunca",23,FALSE
"Rhinoceros_unicornis",8,FALSE
"Rucervus_duvaucelii",9,FALSE
"Rupicapra_pyrenaica",9,FALSE
"Rupicapra_rupicapra",6,FALSE
"Rusa_timorensis",4,FALSE
"Rusa_unicolor",7,FALSE
"Sus_barbatus",17,FALSE
"Sus_cebifrons",8,FALSE
"Sus_scrofa",17,TRUE
"Sylvicapra_grimmia",6,FALSE
"Syncerus_caffer",8,FALSE
"Tapirus_bairdii",7,FALSE
"Tapirus_pinchaque",4,FALSE
"Tapirus_terrestris",29,FALSE
"Taurotragus_oryx",1,FALSE
"Tayassu_pecari",8,FALSE
"Tragelaphus_angasii",5,FALSE
"Tragelaphus_buxtoni",28,FALSE
"Tragelaphus_eurycerus",17,FALSE
"Tragelaphus_imberbis",2,FALSE
"Tragelaphus_scriptus",8,FALSE
"Tragelaphus_spekii",4,FALSE
"Tragelaphus_strepsiceros",1,FALSE
"Tragulus_kanchil",6,FALSE
"Tragulus_napu",18,FALSE
"Vicugna_vicugna",25,TRUE
